ID;p80;tms;Acid_ton;Salmu_ton;Sal_ton;Menos100;Mas19mm;Humedad_BS;tms_cdato;P80_PP;Acid_kgpt;Salmu_kgpt;Sal_kgpt;tms_cdato100;Menos100_cdato100;Mas19mm_cdato100;Humedad_BS_cdato100
1145248;14.44197369;51868.85479;1136.817754;759;0;19.06707854;10.28713023;8.741286756;51868.85479;749.088636;21.91715546;14.63305876;0;51868.85479;9.889875282;5.335816643;4.534005334
1145249;14.7673173;21917.43173;345.688436;214;0;15.43730037;6.567900849;6.505159264;21917.43173;323.6616686;15.77230582;9.763917719;0;21917.43173;3.383459768;1.439515184;1.42576384
1145250;16.5568409;1740.873613;29.729132;42;0;14.00242482;0;;1740.873613;28.82336743;17.07713402;24.12581803;0;1740.873613;0.243764519;0;0
1145251;14.3994627;33917.11522;674.3258;380;165;12.56754928;6.315614991;8.855992728;33917.11522;488.3882355;19.88157883;11.20378303;4.864800527;33917.11522;4.26255017;2.142074414;3.003697258
1145252;17.14535904;54020.25802;1142.623938;810;10.7;16.38244031;8.634194133;5.491698595;54020.25802;926.1967191;21.1517675;14.99437488;0.198073841;54020.25802;8.849836526;4.664213948;2.966629751
1145253;15.34618282;36444.49159;643.034878;409;6.5;13.70597243;7.996062131;9.612568233;36444.49159;559.2838309;17.64422687;11.22254646;0.178353428;36444.49159;4.995071972;2.914124191;3.503251622
1145254;14.48017883;50734.13928;1040.33588;469;386.3;13.83627608;7.372926699;7.977354606;50734.13928;734.6394097;20.50563772;9.244268389;7.6142023;50734.13928;7.019715579;3.7405909;4.047242197
1145255;14.5751524;35368.82222;546.277394;474;0;14.64156294;6.204095556;7.91452315;35368.82222;515.505974;15.4451678;13.40163371;0;35368.82222;5.178548368;2.194315528;2.799273623
1145256;0;3966.860019;0;0;0;14.06127049;0;;0;0;0;0;0;3966.860019;0.557790917;0;0
1145257;0;0;0;0;0;14.17970317;0;;0;0;0;0;0;0;0;0;0
1145258;7.690240145;19345.95007;338.890056;256;16.8;13.6543402;6.204095556;7.91452315;19345.95007;148.7750019;17.51736434;13.23274375;0.868398809;19345.95007;2.641561838;1.200241229;1.531139697
1145259;14.50308418;36780.28407;694.849558;162;302;14.22014969;3.673722881;6.332205938;36780.28407;533.4275562;18.89190297;4.404533681;8.210920813;36780.28407;5.23021145;1.351205712;2.329003332
1145260;15.06734467;131.1761727;3.39919;0;0;0;0;0;131.1761727;1.976476606;25.91316647;0;0;0;0;0;0
1245261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245269;0;2.69296E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1245271;19.36249924;20741.5677;404.2754909;277;38.8;13.39629845;3.393596967;8.829227789;20741.5677;401.6085889;19.49107689;13.35482467;1.870639701;20741.5677;2.778602313;0.703885213;1.83132026
1245272;13.00875854;28563.97658;670.00791;554;0;14.03002736;5.901930331;6.529904652;28563.97658;371.5818745;23.45639474;19.39505861;0;28563.97658;4.007533731;1.685825998;1.865200436
1245273;14.57199764;35438.69689;864.165968;641;0;15.54084678;3.947621275;6.264161002;35438.69689;516.4126075;24.38481219;18.08757252;0;35438.69689;5.507473583;1.398985538;2.21993703
1245274;14.07225323;54107.30956;1080.75868;655;0;11.43560873;6.861365236;6.749913285;54107.30956;761.4117616;19.97435631;12.10557326;0;54107.30956;6.187500213;3.712500128;3.652196476
1245275;13.02480745;38576.65004;760.169128;516;0;15.3673085;4.194572345;6.739876458;38576.65004;502.453439;19.70542095;13.37596705;0;38576.65004;5.92819282;1.618125495;2.600018555
1245276;13.2787981;34763.01292;884.652978;434;120.9;14.9457278;6.367937657;7.314696845;34763.01292;461.61103;25.44811004;12.48453352;3.477834338;34763.01292;5.195585287;2.21368699;2.542809009
1245277;13.93180561;56628.06774;1384.168542;814;0;17.17026952;6.293785994;6.795262267;56628.06774;788.9312319;24.44315332;14.37449718;0;56628.06774;9.723191856;3.564049396;3.84802572
1245278;13.66710854;54112.33493;1150.928986;714;0;15.86921819;7.415855368;10.34412543;54112.33493;739.5591546;21.26925381;13.19477345;0;54112.33493;8.587204495;4.012892494;5.597447799
1245279;14.5253849;40756.50601;934.813998;387;73.5;14.38586206;8.349349206;8.801397474;40756.50601;592.0039371;22.93655883;9.495416508;1.803393058;40756.50601;5.863174737;3.402903011;3.587142091
1245280;13.42242956;48414.74698;1056.22939;298;440;16.44767958;9.737443124;7.775674088;48414.74698;649.8435311;21.81627409;6.155149382;9.088140028;48414.74698;7.963102453;4.714358451;3.764572936
1245281;14.40000534;55134.29423;1246.124509;646;26;14.43428956;10.52724151;7.35235302;55134.29423;793.9341313;22.60162257;11.71684537;0.47157582;55134.29423;7.958243677;5.80412031;4.053667946
1245282;13.80210257;25789.80161;488.47279;335;7.2;14.06836865;9.194113228;6.539116761;25789.80161;355.953487;18.94054081;12.98963075;0.279180124;25789.80161;3.628204366;2.371143562;1.68642524
1245283;13.7167635;61065.90714;1248.439804;830;4.2;13.76457247;8.922226738;8.318502406;61065.90714;837.626606;20.44413753;13.59187211;0.068778148;61065.90714;8.405461043;5.448438695;5.079768955
1245284;13.76104641;46580.12373;1017.790982;546;20.2;14.48370798;7.803415709;7.691803279;46580.12373;640.9912445;21.850328;11.72173786;0.433661364;46580.12373;6.746529096;3.634840693;3.582851485
1245285;13.22285843;51839.44304;1126.565062;667;29.9;15.8595449;4.683604731;7.22716249;51839.44304;685.4656163;21.73181261;12.86665058;0.576780888;51839.44304;8.221499745;2.427954607;3.746520782
1245286;14.66076946;53147.01004;1079.178516;569;9.3;15.46448636;6.500802568;6.589094845;53147.01004;779.1760618;20.30553582;10.70615261;0.174986326;53147.01004;8.218912116;3.454982193;3.501906899
1245287;13.83025503;29249.45823;668.923844;347;133;14.93786998;6.255666364;6.739721513;29249.45823;404.5274669;22.86961484;11.8634676;4.547092768;29249.45823;4.369246041;1.829748521;1.971332029
1245288;13.95027304;49196.32866;1184.902512;85;637;16.66666667;7.649003202;4.936418227;49196.32866;686.3022173;24.08518164;1.727771204;12.94812067;49196.32866;8.199388111;3.763028755;2.428536535
1245289;12.87197304;46343.8715;904.019174;470;101;15.66591422;3.037729765;6.864392539;46343.8715;596.5370644;19.50676853;10.14157827;2.179360436;46343.8715;7.260191155;1.407801578;3.181225257
1245290;13.93624592;35974.11689;804.560712;212;350;14.53726073;3.298643375;7.441597589;35974.11689;501.3441397;22.36498854;5.8931259;9.729217288;35974.11689;5.229651169;1.186657824;2.677049015
1245291;13.93624592;35569.57833;509.933622;0;467.8;13.5775586;1.88292558;6.423919479;35569.57833;495.7063908;14.33622905;0;13.1516881;35569.57833;4.829480342;0.669748689;2.284961071
