TPH;TSPH;CuTC;CuSC;RS;HumC;CAA;CO3;FeSol                            ;Alsol                          ;TCur;TAgua;HumAglo;HumDin;Alt;p80;M100;M200;diasREfec;Diasreposo;RLix;CuTRip;RecRip;STock;UM100;UM200;UM300;UM430;UM440;UM445;UM450;UM455;UM460;UM470;UM480;UM800;BH;BI;DF;FM;GD;GR;PD;PT;SV;K;KSER;SER;CLO;ARC;ARCSER;CLOSER
88956;87214;0.5;0.3;63.9;2;30.1;0.3;0.3;0.3;16.9;24;6;5.5;7.4;19.9;8.3;5.9;66;1;1.5;0.1;72.2;20.4;0;0;0;0;12;84.8;2.7;0.4;0;0;0;0;0;0;0;0;88.6;0;0;11.4;0;88.9;6.9;4.2;0;0;0;0
86392;84893.1;0.5;0.4;71.5;1.7;30.1;0.3;0.3;0.3;17.7;22.7;5.8;5.7;7.4;20;7.5;5.9;68.8;1;2;0.2;65.9;22.9;0;0;0;0;0.5;98.8;0.5;0.2;0;0;0;0;0;0;0;0;80.1;0;0;19.9;0;86.5;8.1;5.4;0;0;0;0
85200;84054.6;0.6;0.4;76.9;1.3;34.1;0.3;0.3;0.3;17.4;23.3;5.4;6.1;7.4;19.6;8.8;5.9;69.4;0;1.9;0.1;79.6;15.4;0;0;0;0;1.4;95.7;2.8;0;0;0;0;0;0;0;0;0;86.1;0;0;13.9;0;98.6;0.2;1.2;0;0;0;0
90768;89483.9;0.5;0.4;77.6;1.4;27.3;0.3;0.2;0.3;17.1;27.9;5.9;5.6;7.4;20.3;7.2;5.9;73.8;2;1.9;0.1;79.9;9;0;0;0;0;4.9;81.5;5.1;8.5;0;0;0;0;0;0;0;0;86.3;0;0;13.7;0;99.9;0;0.1;0;0;0;0
85378;84021;0.6;0.4;64.8;1.6;32.1;0.3;0.4;0.4;14.1;21.1;5.1;6.4;7.3;19.3;9.5;5.9;72.4;1;2;0.2;66.6;14.1;0;0;0;0;2.6;59.4;16;4.1;17.9;0;0;0;0;0;0;0;97.6;0;0;2.4;0;95.2;4.8;0;0;0;0;0
87588;86421.5;0.6;0.4;73.4;1.3;24.6;0.3;0.3;0.3;16.3;22.8;5.2;6.3;7.3;18.2;8.3;5.9;72.4;1;2;0.3;59;6;0;0;0;0;29.3;47.1;3.4;17.9;2.3;0;0;0;0;0;0;0;98.8;0;0;1.2;0;99.4;0.6;0;0;0;0;0
90970;89448.3;0.6;0.5;77.7;1.7;29.7;0.3;0.4;0.3;16.4;24.7;5.8;5.7;7.4;19.4;8.5;5.9;72.1;2;1.9;0.1;76.2;18.2;0;0;0;0;21.6;53.2;0.7;24.4;0;0;0;0;0;0;0;0;98.7;0;0;1.3;0;100;0;0;0;0;0;0
94064;92966.5;0.6;0.4;81.2;1.2;23.8;0.2;0.3;0.3;16.2;20;4.8;6.7;7.4;18.5;10.1;5.9;71.6;1;1.7;0.1;78.5;31.3;0;0;0;0;5.2;54;1.2;39.6;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0
89594;88443.3;0.6;0.5;81.5;1.3;27.7;0.2;0.3;0.3;16.2;22;5.1;6.4;7.5;18.3;8.1;5.9;69.8;1;1.7;0.1;83;27.1;0;0;0;0;0.2;86.2;0.1;13.1;0.5;0;0;0;0;0;0;0;100;0;0;0;0;81.6;18.4;0;0;0;0;0
84652;82896.8;0.6;0.5;79.6;2.1;32.5;0.1;0.4;0.3;15.2;21.9;5.8;5.7;7;18.6;7.1;5.9;68;1;1.8;0.1;88.3;1.5;0;0;0;0;0;87.1;5.1;5.8;2;0;0;0;0;0;0;0;100;0;0;0;0;34.7;65.3;0;0;0;0;0
90364;88624.8;0.5;0.4;74.7;1.9;28;0.2;0.4;0.3;15.7;22.5;5.7;5.8;7.1;17.4;9;5.9;70.8;2;1.7;0.1;81.8;5;0;0;0;0;1.7;57.8;14.4;26.2;0;0;0;0;0;0;0;0;100;0;0;0;0;84.4;15.6;0;0;0;0;0
75222;73865.5;0.6;0.4;70.3;1.8;40.1;0.4;0.6;0.4;15.2;27.5;6.1;5.4;6.6;17.1;9.7;5.9;68.6;1;2;0.1;81.2;16.5;0;0;0;0;5.9;65.5;2.9;19.7;6;0;0;0;0;0;0;0;89.6;0;0;10.4;0;97.8;2.2;0;0;0;0;0
78494;77506.6;0.6;0.4;73;1.3;35.1;0.2;0.6;0.4;16.1;36.6;6.5;5;6;15.7;11.6;5.9;66;1;1.8;0.2;73.1;31.1;0;0;0;0;4.3;62;1.7;23.2;8.1;0;0.8;0;0;0;0;0;86.8;0;0;13.2;0;100;0;0;0;0;0;0
77514;76482.3;0.5;0.4;70.9;1.3;32;0.2;0.4;0.3;13.1;31.3;5.8;5.7;6.2;14.9;9.8;5.9;67.5;1;1.9;0.1;74;17.6;0;0;0;0;17.6;54.1;1.3;24.4;2;0;0.6;0;3.5;0;0;0;56.3;0;0;40.2;0;100;0;0;0;0;0;0
82846;81384;0.6;0.4;70.1;1.8;29.7;0.3;0.4;0.4;14.2;36.5;6.8;4.7;6.2;15.4;10.8;5.9;64.2;1;1.7;0.1;77.4;5.8;0;0;0;0;27.6;56;0;16.4;0.1;0;0;0;8.5;0;0;0;38.9;0;0;52.6;0;100;0;0;0;0;0;0
76670;75881.8;0.6;0.4;70.5;1;25.2;0.2;0.4;0.3;14.9;37.4;6.3;5.2;6.3;15;12.2;5.9;62.9;2;1.8;0.2;67.2;24.3;0;0;0;0;36.4;54.9;3.9;4.6;0.1;0;0;0;21.3;0;0;0;31.5;0;0;47.2;0;100;0;0;0;0;0;0
