Sifon;Paño;Ciclo;Fecha_apil;Fecha_riego;Fecha_aporte;Vol_m3;Mineral_tms;H_(Bh)_%; Tcu_%;ASCu_%;CNCu_%;Ac. Correa_ton;Sal_Sól_ton;Sal_Salmu_ton ;P80_mm;Menos_-#100;H_(Bs)_%_I;RS_%_I;Tcu_%_I;ASCu_%_I;CNCu_%_I;Alt Paño_%_I;D. Acido_kg/t_I;Sal_Sól_kg/t_I;Sal_Salmu_kg/t_I;Sal_Total_kg/t_I;Reposo_dias;Reviente_dias;Menos_-100#_%_I;Ciclo_Max_dias;Reviente_dias_Calc;Ciclo_Max_dias_Calc;Dif_dias;HON_gpl_sup;CuON_gpl_sup;ClON_gpl_sup;T.riego_l/h/m2_sup;RLd_m3/t/d;RL_m3/t_sup;Rmax_%;;RCuT_%
;66;23;05-dic-21;19-dic-21;22-dic-21;76.605;136.773;5.34;0.776;0.145;0.56;2.441;2.051;349;16.4;;5.6;90.9;1.061.70;199;766.1;6.1;17.8;15;2.6;17.6;14;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.79;46.5;0;46.5
;67;23;08-dic-21;22-dic-21;23-dic-21;76.597;137.056;6.24;0.781;0.134;0.571;2.399;1.887;524;15.1;;6.7;90.2;1.071.00;183.5;782.2;6.1;17.5;13.8;3.8;17.6;14;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.78;50.7;0;50.7
;68;23;10-dic-21;25-dic-21;26-dic-21;74.971;136.87;5.49;0.701;0.111;0.501;2.587;2.024;662;14.7;;5.8;87.3;960;152.5;685.8;6;18.9;14.8;4.8;19.6;15;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.78;53.1;0;53.1
;69;23;13-dic-21;27-dic-21;29-dic-21;73.2;136.137;5.31;0.774;0.12;0.578;2.723;1.816;619;14.9;;5.6;90.2;1.053.50;164;786.4;5.8;20;13.3;4.5;17.9;14;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.8;54.3;0;54.3
12022;70;23;16-dic-21;03-ene-22;04-ene-22;73.168;136.844;4.75;1,023;0.198;0.752;1.604;1.118;674;16.6;;5;92.8;1.399.80;270.7;1.028.50;5.8;11.7;8.2;4.9;13.1;18;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.78;51.4;0;51.4
12022;71;23;18-dic-21;05-ene-22;06-ene-22;73.35;137.016;4.93;0.988;0.186;0.708;2.596;2.092;530;16;;5.2;90.5;1.353.20;254.5;970.5;5.8;18.9;15.3;3.9;19.1;18;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.78;52.1;0;52.1
12022;72;23;21-dic-21;08-ene-22;09-ene-22;73.587;137.101;4.33;0.747;0.161;0.485;2.59;1.888;244;16.9;;4.5;86.5;1.024.10;220.1;665.3;5.8;18.9;13.8;1.8;15.6;18;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.78;42.4;0;42.4
12022;73;23;24-dic-21;11-ene-22;12-ene-22;74.457;137.555;5.49;0.9;0.152;0.667;2.591;1.966;39;16.2;;5.8;91;1.237.90;209;918.1;5.9;18.8;14.3;0.3;14.6;18;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.77;36;0;36
12022;74;23;26-dic-21;14-ene-22;18-ene-22;77.413;137.26;6.7;0.895;0.238;0.595;2.434;2.187;0;17.3;;7.2;93.1;1.228.70;327.3;817;6.1;17.7;15.9;0;15.9;19;4;0;210;4;210;0;9;0.000078125;22;6;0.013;2.78;35.4;0;35.4
12022;75;23;29-dic-21;16-ene-22;19-ene-22;81.05;137.327;5.33;0.902;0.293;0.548;1.929;1.859;529;16.7;;5.6;93.2;1.239.00;402.2;752;6.4;14;13.5;3.9;17.4;18;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.77;51.6;0;51.6
12022;76;23;02-ene-22;20-ene-22;22-ene-22;80.625;137.214;4.85;0.887;0.18;0.637;1.916;1.641;499;15;;5.1;92.1;1.216.60;247.3;873.7;6.4;14;12;3.6;15.6;18;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.78;49.2;0;49.2
12022;77;23;06-ene-22;24-ene-22;26-ene-22;78.904;137;5.27;0.91;0.131;0.677;2.199;1.372;314;15.9;;5.6;88.7;1.246.80;179.5;926.8;6.3;16;10;2.3;12.3;18;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.78;43.2;0;43.2
12022;78;23;09-ene-22;27-ene-22;29-ene-22;77.76;136.67;4.56;1.09;0.185;0.816;2.412;1.222;874;16.7;;4.8;91.8;1.490.10;252.6;1.115.20;6.2;17.6;8.9;6.4;15.3;18;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.79;59.1;0;59.1
22022;79;23;12-ene-22;30-ene-22;01-feb-22;76.988;136.229;4.69;0.877;0.144;0.646;2.328;984;1.12;15.2;;4.9;90.2;1.194.60;196.6;880.5;6.1;17.1;7.2;8.2;15.4;18;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.8;62.4;0;62.4
22022;80;23;15-ene-22;02-feb-22;03-feb-22;75.818;135.448;4.51;0.918;0.133;0.707;2.863;1.112;996;16.7;;4.7;91.5;1.242.70;179.7;957.7;6;21.1;8.2;7.4;15.6;18;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.81;62.9;0;62.9
22022;81;23;20-ene-22;07-feb-22;08-feb-22;73.991;135.444;4.44;0.832;0.131;0.632;2.287;1.218;711;17.1;;4.6;91.8;1.126.30;177.2;856.3;5.9;16.9;9;5.2;14.2;18;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.81;54.8;0;54.8
22022;82;23;23-ene-22;10-feb-22;13-feb-22;74.07;135.545;4.38;0.683;0.166;0.422;1.841;1.345;608;16.6;;4.6;86;926.2;224.7;571.4;5.9;13.6;9.9;4.5;14.4;18;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.81;48.9;0;48.9
22022;83;23;26-ene-22;16-feb-22;18-feb-22;74.895;135.531;4.35;0.714;0.191;0.449;2.313;1.105;757;17.4;;4.5;89.6;968.2;259;608.7;5.9;17.1;8.2;5.6;13.7;21;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.81;56.2;0;56.2
