Fecha apil;Fecha riego;Fecha aporte;Mineral_tms;Tcu_%;ASCu_%;CNCu_%;Ac_correa;H(bs)_%;RS_%;Altura_p_m;Sal_sol_kg/ton;Sal_salmu_kg/ton;sal_total_kg/ton;p80_mm;%-100#;HON gpl;RL_m3/t;Rmax;
19-jun-22;03-jul-22;07-jul-22;147.474;0,900;0,135;0,681;2.684;6,2;90,7;6,1;4,4;11,8;16,2;16,2;0,0;9,0;3,01;64,7;
21-jun-22;05-jul-22;09-jul-22;147.971;0,789;0,124;0,589;2.923;6,7;90,4;6,1;3,8;12,8;16,6;16,5;0,0;9,0;3,00;67,3;
25-jun-22;09-jul-22;12-jul-22;147.688;0,797;0,123;0,596;2.086;6,1;90,2;6,2;4,6;9,6;14,2;16,1;0,0;9,0;3,01;57,2;
28-jun-22;12-jul-22;16-jul-22;147.087;0,791;0,167;0,542;2.480;6,4;89,6;6,3;3,7;12,6;16,3;15,6;0,0;9,0;3,02;65,6;
30-jun-22;14-jul-22;18-jul-22;147.939;0,651;0,194;0,362;2.701;6,7;85,4;6,3;4,6;13,4;18,0;16,1;0,0;9,0;3,00;66,4;
03-jul-22;17-jul-22;21-jul-22;140.132;0,683;0,134;0,455;2.382;6,3;86,2;6,1;4,3;12,3;16,5;14,4;0,0;9,0;3,17;63,1;
07-jul-22;21-jul-22;23-jul-22;140.491;0,806;0,105;0,607;2.345;5,5;88,3;6,2;4,2;12,0;16,2;15,0;0,0;9,0;3,16;62,4;
10-jul-22;24-jul-22;26-jul-22;140.060;0,702;0,105;0,513;2.451;6,4;88,0;6,3;3,9;13,2;17,1;14,3;0,0;9,0;3,17;65,3;
13-jul-22;27-jul-22;30-jul-22;140.290;0,698;0,111;0,508;2.552;6,0;88,7;6,4;5,4;12,7;18,1;14,9;0,0;9,0;3,17;65,3;
17-jul-22;31-jul-22;05-ago-22;140.213;0,660;0,126;0,445;2.489;6,8;86,5;6,2;7,4;9,0;16,4;14,9;0,0;9,0;3,17;57,6;
21-jul-22;05-ago-22;07-ago-22;140.460;0,658;0,135;0,426;2.510;7,0;85,4;6,0;7,3;9,7;17,0;15,4;0,0;9,0;3,16;58,5;
24-jul-22;07-ago-22;10-ago-22;140.119;0,597;0,108;0,373;2.621;5,3;80,6;6,2;6,4;10,8;17,2;14,1;0,0;9,0;3,17;58,2;
27-jul-22;10-ago-22;15-ago-22;140.223;0,643;0,108;0,442;3.027;5,9;85,5;6,4;10,2;9,8;19,9;14,1;0,0;9,0;3,17;60,6;
31-jul-22;14-ago-22;20-ago-22;140.617;0,888;0,128;0,691;3.093;5,1;92,3;6,3;18,0;4,0;22,0;14,7;0,0;9,0;3,16;49,6;
05-ago-22;19-ago-22;26-ago-22;146.441;0,892;0,143;0,679;2.468;6,1;92,3;6,1;5,6;10,4;15,9;15,0;0,0;9,0;3,04;62,4;
09-ago-22;23-ago-22;27-ago-22;146.146;0,828;0,148;0,608;2.481;7,0;91,3;6,2;0,3;9,3;9,6;16,6;0,0;9,0;3,04;59,6;
12-ago-22;25-ago-22;30-ago-22;146.242;0,860;0,155;0,626;2.794;7,4;90,8;6,2;0,0;9,4;9,4;15,6;0,0;9,0;3,04;61,3;
15-ago-22;29-ago-22;04-sept-22;146.049;0,722;0,132;0,508;2.845;6,4;88,6;6,1;0,0;8,3;8,3;14,6;0,0;9,0;3,04;57,8;
17-ago-22;31-ago-22;06-sept-22;146.347;0,743;0,157;0,513;2.877;4,8;90,2;6,2;0,0;8,4;8,4;15,8;0,0;9,0;3,04;59,2;
